/home/benjamin/Documents/test_rust/gzip_parser/test.pairs.gz.stats.tsv
         3717729 function calls (3631924 primitive calls) in 24.237 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8   21.820    2.727   21.820    2.727 {method 'poll' of 'select.poll' objects}
     2842    0.170    0.000    0.170    0.000 {built-in method marshal.loads}
       20    0.073    0.004    0.073    0.004 {built-in method posix.fork}
6892/2181    0.071    0.000    0.154    0.000 _parser.py:512(_parse)
7225/7094    0.060    0.000    0.599    0.000 {built-in method builtins.__build_class__}
  310/309    0.059    0.000    0.061    0.000 {built-in method _imp.create_dynamic}
     7281    0.049    0.000    0.092    0.000 inspect.py:875(cleandoc)
   3338/1    0.042    0.000   24.290   24.290 {built-in method builtins.exec}
    14794    0.039    0.000    0.040    0.000 inspect.py:3045(<genexpr>)
     3069    0.037    0.000    0.044    0.000 functools.py:35(update_wrapper)
    12551    0.035    0.000    0.036    0.000 {built-in method posix.stat}
287673/287669    0.032    0.000    0.037    0.000 {built-in method builtins.isinstance}
   291444    0.032    0.000    0.032    0.000 {method 'append' of 'list' objects}
353956/344410    0.029    0.000    0.031    0.000 {built-in method builtins.len}
     2842    0.029    0.000    0.202    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
  310/240    0.028    0.000    0.102    0.000 {built-in method _imp.exec_dynamic}
     2842    0.028    0.000    0.028    0.000 {built-in method _io.open_code}
9115/1613    0.027    0.000    0.065    0.000 _compiler.py:37(_compile)
     2962    0.026    0.000    0.112    0.000 inspect.py:2366(_signature_from_function)
13772/12523    0.025    0.000    0.054    0.000 {built-in method __new__ of type object at 0x5ab0f1835660}
     4241    0.025    0.000    0.103    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.025    0.025    0.167    0.167 Restriction.py:1(<module>)
152338/151746    0.024    0.000    0.026    0.000 {built-in method builtins.getattr}
     2847    0.023    0.000    0.023    0.000 {method 'read' of '_io.BufferedReader' objects}
   155005    0.022    0.000    0.022    0.000 {method 'startswith' of 'str' objects}
    16913    0.020    0.000    0.038    0.000 inspect.py:2712(__init__)
      415    0.019    0.000    0.055    0.000 doccer.py:13(docformat)
     5593    0.018    0.000    0.058    0.000 <frozen importlib._bootstrap>:304(acquire)
     3234    0.018    0.000    0.157    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
3773/2990    0.017    0.000    0.145    0.000 inspect.py:2470(_signature_from_callable)
      702    0.017    0.000    0.017    0.000 {built-in method builtins.dir}
   103339    0.017    0.000    0.017    0.000 {built-in method builtins.min}
    23315    0.017    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      218    0.017    0.000    0.054    0.000 artist.py:1439(get_aliases)
55145/55068    0.017    0.000    0.020    0.000 {method 'join' of 'str' objects}
       67    0.016    0.000    0.016    0.000 colors.py:1101(reversed)
     2842    0.016    0.000    0.324    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    10681    0.015    0.000    0.291    0.000 __init__.py:280(_compile)
     4264    0.015    0.000    0.056    0.000 inspect.py:2998(__init__)
     4429    0.015    0.000    0.015    0.000 {method 'sub' of 're.Pattern' objects}
   119279    0.014    0.000    0.014    0.000 {method 'lstrip' of 'str' objects}
   3322/2    0.014    0.000    2.375    1.187 <frozen importlib._bootstrap>:1349(_find_and_load)
      684    0.014    0.000    0.016    0.000 {built-in method builtins.eval}
     1933    0.014    0.000    0.020    0.000 _compiler.py:243(_optimize_charset)
     5684    0.013    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     9690    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
5793/1613    0.013    0.000    0.162    0.000 _parser.py:452(_parse_sub)
     4144    0.012    0.000    0.123    0.000 artist.py:1467(get_valid_values)
