file1	file2	chrom	resolution	h	dBPMax	scc
file0	file0	chr0	100000	1		0.8359166993596014
file0	file0	chr0	1000000	1		0.6125078103069985
file0	file0	chr1	100000	1		0.7070746367705295
file0	file0	chr1	1000000	1		0.8213858130291021
file0	file0	chr2	100000	1		0.805787593084659
file0	file0	chr2	1000000	1		0.8251550097445698
file0	file0	chr3	100000	1		0.9551334105513406
file0	file0	chr3	1000000	1		0.5317017006219996
file0	file0	chr4	100000	1		0.17028402442983426
file0	file0	chr4	1000000	1		0.7155367530109943
file0	file0	chr5	100000	1		0.10128994239329214
file0	file0	chr5	1000000	1		0.00550126254139649
file0	file0	chr6	100000	1		0.8592469975688065
file0	file0	chr6	1000000	1		0.8193830412076604
file0	file0	chr7	100000	1		0.977590019570663
file0	file0	chr7	1000000	1		0.5693822753923674
file0	file0	chr8	100000	1		0.45744619044536394
file0	file0	chr8	1000000	1		0.07592135761177632
file0	file0	chr9	100000	1		0.07434835275977503
file0	file0	chr9	1000000	1		0.8225945478277226
file0	file0	chr10	100000	1		0.8489964642447132
file0	file0	chr10	1000000	1		0.15234818471068723
file0	file0	chr11	100000	1		0.30840319414806916
file0	file0	chr11	1000000	1		0.02834231840754753
file0	file0	chr12	100000	1		0.32536753136978025
file0	file0	chr12	1000000	1		0.23999881598094908
file0	file0	chr13	100000	1		0.7148887839538939
file0	file0	chr13	1000000	1		0.21871726595822727
file0	file0	chr14	100000	1		0.38225081411018136
file0	file0	chr14	1000000	1		0.036993205360211
file0	file0	chr15	100000	1		0.6107459094505432
file0	file0	chr15	1000000	1		0.9845869398890775
file0	file0	chr16	100000	1		0.39118671705773045
file0	file0	chr16	1000000	1		0.4761421656890844
file0	file0	chr17	100000	1		0.7113552046683764
file0	file0	chr17	1000000	1		0.3373590492939561
file0	file0	chr18	100000	1		0.350654377709819
file0	file0	chr18	1000000	1		0.20466695551145908
file0	file0	chr19	100000	1		0.6423367137184249
file0	file0	chr19	1000000	1		0.8784295378877559
file0	file0	chr20	100000	1		0.9138248766871025
file0	file0	chr20	1000000	1		0.07975589828888019
file0	file0	chr21	100000	1		0.5793327424277543
file0	file0	chr21	1000000	1		0.717273135764411
file0	file0	chrX	100000	1		0.14055724533080527
file0	file0	chrX	1000000	1		0.24481953340382323
file0	file0	chrY	100000	1		0.2311144636291016
file0	file0	chrY	1000000	1		0.47533585439769277
file0	file0	chrM	100000	1		0.6246725039921613
file0	file0	chrM	1000000	1		0.5079583534662374
file0	file1	chr0	100000	1		0.5111352512904064
file0	file1	chr0	1000000	1		0.8617285107200664
file0	file1	chr1	100000	1		0.036660906207960475
file0	file1	chr1	1000000	1		0.018095524277745634
file0	file1	chr2	100000	1		0.7897126042204774
file0	file1	chr2	1000000	1		0.6429971378611365
file0	file1	chr3	100000	1		0.7444879691300974
file0	file1	chr3	1000000	1		0.552730032926968
file0	file1	chr4	100000	1		0.9675251960657621
file0	file1	chr4	1000000	1		0.580394806752823
file0	file1	chr5	100000	1		0.9798433514957186
file0	file1	chr5	1000000	1		0.8907753061368453
file0	file1	chr6	100000	1		0.45586523139305324
file0	file1	chr6	1000000	1		0.6303797259438326
file0	file1	chr7	100000	1		0.17342078665068694
file0	file1	chr7	1000000	1		0.1296176604937227
file0	file1	chr8	100000	1		0.304097365215362
file0	file1	chr8	1000000	1		0.2509680322370511
